dataset,var.names,var.labels,title,description,family,references
democracy,utip_dichotomous,"Calculated dichotomous index of democracy from data in the UTIP dataset of political regimes (Hsu 2008). 1 if the regime is a social democracy, conservative democracy, or one party democracy, 0 otherwise. The category of ""one party democracy"" is not well documented.",NA,NA,NA,"Hsu, Sara ""The Effect of Political Regimes on Inequality, 1963-2002,"" UTIP Working Paper No. 53 (2008), http://utip.gov.utexas.edu/papers/utip_53.pdf. Data available for download at http://utip.gov.utexas.edu/data/."
democracy,utip_dichotomous_strict,"Stricter version of the calculated dichotomous index of democracy from data in the UTIP dataset of political regimes (Hsu 2008). 1 if the regime is a social democracy or a conservative democracy, 0 otherwise. This excludes ""one party democracies"" from the democracy category.",NA,NA,NA,NA
democracy,utip_trichotomous,"Calculated trichotomous index of democracy from data in the UTIP dataset of political regimes (Hsu 2008). 2 if the regime is a social democracy or conservative democracy, 1 if the regime is a one party democracy, 0 otherwise. The category of ""one party democracy"" is not well documented.",NA,NA,NA,NA
democracy,v2x_api,Additive polyarchy index from V-dem version 6.1 (Coppedge at al 2016). Higher values are more democratic.,NA,NA,NA,"Coppedge, Michael, John Gerring, Staffan I. Lindberg, Svend-Erik Skaaning, and Jan Teorell, with David Altman, Michael Bernhard, M. Steven Fish, Adam Glynn, Allen Hicken, Carl Henrik Knutsen, Kelly McMann, Pamela Paxton, Daniel Pemstein, Jeffrey Staton, Brigitte Zimmerman, Frida Andersson, Valeriya Mechkova, Farhad Miri. 2016. V-Dem Codebook v6.1. Varieties of Democracy (V-Dem) Project. Original data available at https://v-dem.net/en/data/. "
democracy,v2x_delibdem,Deliberative democracy index from V-dem version 6.1 (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,v2x_egaldem,Egalitarian democracy index from V-dem version 6.1  (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,v2x_libdem,Liberal democracy index from V-dem version 6.1 (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,v2x_mpi,Multiplicative polyarchy index from V-dem version 6.1 (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,v2x_partipdem,Participatory democracy index from V-dem version 6.1 (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,v2x_polyarchy,Continuous polyarchy index from V-dem version 6.1 (Coppedge et al 2016). Higher values are more democratic.,NA,NA,NA,NA
democracy,vanhanen_competition,"Index of competition from Vanhanen 2012. From Vanahnen's documentation: ""The smaller parties' share of the votes cast in parliamentary or presidential elections, or both, is used to indicate the degree of competition. It is calculated by subtracting the percentage of votes won by the largest party from 100. If the largest party gets, for example, 40 percent of the votes, the share of the smaller parties is 60 percent. If data on the distribution of votes are not available, the value of this variable is calculated on the basis of the distribution of seats in parliament. The distribution of seats is used also in cases in which it seems to indicate power relations more realistically than the distribution of votes."" Its maximum value is 70. See the full documentation for Vanhanen's dataset for details.",NA,NA,NA,"Vanhanen, Tatu. 2012. ""FSD1289 Measures of Democracy 1810-2012."" Original data available from http://www.fsd.uta.fi/english/data/catalogue/FSD1289/meF1289e.html."
democracy,vanhanen_democratization,Index of democratization from Vanhanen 2012. Higher values are more democratic. Constructed multiplicatively from vanhanen_participation and vanhanen_competition.,NA,NA,NA,NA
democracy,vanhanen_participation,"Index of participation from Vanhanen 2012. From Vanahnen's documentation: ""The percentage of the population which actually voted in the same elections is used to measure the degree of participation (= Participation). This percentage is calculated from the total population, not from the adult or enfranchized population."" It is zero by construction in cases where no popular elections exist. May be modified by referenda. See the full documentation of Vanhanen's dataset for details.",NA,NA,NA,NA
democracy,vanhanen_pmm,"Same as vanhanen_democratization but taken from Pemstein, Meserve, and Melton (2013). Differs from the original data in a few cases.",NA,NA,NA,"Wahman, Michael, Jan Teorell, and Axel Hadenius. 2013. Authoritarian regime types revisited: updated data in comparative perspective. Contemporary Politics 19 (1): 19-34."
democracy,wahman_teorell_hadenius,"Dichotomous measure of democracy from the Authoritarian Regimes Data Set, version 5.0 (Wahman, Teorell, and Hadenius 2013). Calculated from their regime1ny variable; non-democracy = all authoritarian regimes.",NA,NA,NA,"Hadenius, Axel & Jan Teorell. 2007. ""Pathways from Authoritarianism"", Journal of Democracy 18(1): 143-156."
democracy_mentions_yearly,constitution_name,Name of constitution in the CCP corpus. ,"Mentions of democracy in constitutional documents, V. 1.0",A dataset of mentions of democracy in the constitutional documents collected by the Comparative Constitutions Project. A similar variable is found in the much larger dataset maintained by the CCP at http://comparativeconstitutionsproject.org/ccp-visualizations/,institutions,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
democracy_mentions_yearly,const_num,"Constitution number in the country's constitutional history. (0 = pre-constitutional period, 1 = first constitution, etc.).",NA,NA,NA,NA
democracy_mentions_yearly,has_constitution,Does the country have a constitution? (May be suspended).,NA,NA,NA,NA
democracy_mentions_yearly,constitutional.event,"Constitutional event (e.g., new constitution, amendment, etc.). NA if no event took place during the year.",NA,NA,NA,NA
democracy_mentions_yearly,has_mention,Does the constitution mention democracy? (FALSE if no constitution).,NA,NA,NA,NA
democracy_mentions_yearly,mentions,First 500 characters of the passages mentioning democracy. (More than one mention may be concatenated together),NA,NA,NA,NA
economic_data,variable,"The particular source and type of estimate of GDP. These range from the ""expenditure side"" estimate (using chained Purchasing Power Parities, 2005 US$) from PWT 8.1 to Maddison's real per capita estimate using 1990 international Gheary-Khamis dollars, so they are not strictly comparable (even if they are highly correlated).",Combined GDP dataset,"A dataset combining historical estimates of GDP from the three main sources that publish them: the Maddison Project, the Penn World Tables, and the World Bank.",economic data,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
economic_data,value,The value of the GDP estimate (check variable for specifics).,NA,NA,NA,NA
economic_data,per_capita,Per capita estimate of GDP. This sometimes differs from value If value is a whole economy estimate (not per capita).,NA,NA,NA,NA
economic_data,primary_source,"The primary source of the estimate. There are five sources: Maddison; Penn World Tables (8.1 and 8.0); Gleditsch (in turn based on PWT 8.0, with interpolations and adjustments); and the World Bank.",NA,NA,NA,NA
economic_data,origin,"Origin of the estimate. (Relevant primarily for Gleditsch's estimates, which combine several sources).",NA,NA,NA,NA
economic_data,per_capita_growth,Per capita growth since previous data point in country. This is log growth: log(per_capita at t) - log(per_capita at t-1).,NA,NA,NA,NA
extended_uds,measures_per_cy,Number of democracy measures used to construct estimate.,Extended Unified Democracy Scores (UDS),"A dataset extending the Unified Democracy Scores of Pemstein, Meserve, and Melton (2010) to the 19th century (and sometimes before), updating it with 2013-2015 data, and calculating scores for countries not in the official UD release. Cite both Pemstein, Meserve, and Melton 2010 as well as Marquez 2016.",democracy,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
extended_uds,z1,The mean of the latent unfied democracy variable (the factor scores computed by the model).,NA,NA,NA,"Marquez, Xavier. 2016. ""A Quick Method for Extending the Unified Democracy Scores."" Available at SSRN 2753830. doi:10.2139/ssrn.2753830."
extended_uds,se.z1,The standard error of the latent variable. This is typically higher for years in the distant past or with few measurements.,NA,NA,NA,"Pemstein, Daniel, Stephen Meserve, and James Melton. 2010. ""Democratic Compromise: A Latent Variable Analysis of Ten Measures of Regime Type."" Political Analysis 18 (4): 426-49. doi:10.1093/pan/mpq020.

"
extended_uds,pct975,The top of the 95 percent confidence interval around z1. Calculated as z1 + 1.96*se.z1.,NA,NA,NA,NA
extended_uds,pct025,The bottom of the 95 percent confidence interval. Calculated as z1 - 1.96*se.z1.,NA,NA,NA,NA
extended_uds,adj.z1,"The mean of the latent unfied democracy variable (the factor scores computed by the model), adjusted to match the average cutpoints for the dichotomous measures of democracy used to generate it (essentially, z1 - 0.64). See Marquez 2016 for details.",NA,NA,NA,NA
extended_uds,adj.pct025,"The bottom of the 95 percent confidence interval, adjusted to match the average cutpoints for the dichotomous measures of democracy used to generate it (essentially, pct025 - 0.64).",NA,NA,NA,NA
extended_uds,adj.pct975,"The top of the 95 percent confidence interval around z1, adjusted to match the average cutpoints for the dichotomous measures of democracy used to generate it (essentially, pct975 - 0.64).",NA,NA,NA,NA
extended_uds,index,"A transformation of adj.z1 to a 0-1 scale, using the normal cumulative distribution function. See Marquez 2016 for more details. This form of the index has a natural interpretation as the probability that a country-year is a democracy. It could also be used in ordinal from, with values from 0 to 0.2 understood to be ""closed autocracies,"" 0.2-0.4 ""autocratic"", 0.4-0.6 ""hybrid"", 0.6-0.8 ""minimally democratic"", and 0.8-1 ""fully democratic"".",NA,NA,NA,NA
extended_uds,index.pct025,"A transformation of adj.z1.pct025 to a 0-1 scale, using the normal cumulative distribution function.",NA,NA,NA,NA
extended_uds,index.pct975,"A transformation of adj.z1.pct975 to a 0-1 scale, using the normal cumulative distribution function.",NA,NA,NA,NA
fariss,latentmean,The latent mean of the estimate. Higher values mean less repression/volations of physical integrity rights.,Fariss latent variable index of repression,"The index of repression/violations of physical integrity rights described in Fariss, Christopher J. 2014. ""Respect for Human Rights Has Improved over Time: Modeling the Changing Standard of Accountability."" American Political Science Review 108 (02): 297-318. doi:doi:10.1017/S0003055414000070.",violence,"Fariss, Christopher J. 2014. ""Respect for Human Rights Has Improved over Time: Modeling the Changing Standard of Accountability."" American Political Science Review 108 (02): 297-318. doi:doi:10.1017/S0003055414000070."
fariss,latentsd,The standard deviation of the estimate.,NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
fariss,latentpct025,Lower bound of the 95\% confidence interval.,NA,NA,NA,NA
fariss,latentpct975,Higher bound of the 95\% confidence interval.,NA,NA,NA,NA
fariss,CIRI,CIRI index of physical integrity rights.,NA,NA,NA,NA
fariss,COW,COW,NA,NA,NA,NA
fariss,DISAP,DISAP,NA,NA,NA,NA
fariss,KILL,KILL,NA,NA,NA,NA
fariss,POLPRIS,POLPRIS,NA,NA,NA,NA
fariss,TORT,TORT,NA,NA,NA,NA
fariss,Amnesty,Amnesty,NA,NA,NA,NA
fariss,State,State,NA,NA,NA,NA
fariss,hathaway,hathaway,NA,NA,NA,NA
fariss,ITT,ITT,NA,NA,NA,NA
fariss,genocide,genocide,NA,NA,NA,NA
fariss,rummel,rummel,NA,NA,NA,NA
fariss,massive_repression,massive_repression,NA,NA,NA,NA
fariss,executions,executions,NA,NA,NA,NA
fariss,killing,killing,NA,NA,NA,NA
fariss,fariss_country,Country name in the original dataset.,NA,NA,NA,NA
interstate_dyads_yearly,warid,War ID.,List of Interstate War Dyads by Gleditsch,"List of Interstate War Dyads by Gleditsch, extended until 2004. Described fully in Gleditsch, Kristian. 2004. ""A Revised List of Wars Between and Within Independent States, 1816-2002."" International Interactions 30 (3): 231-62. http://privatewww.essex.ac.uk/~ksg/expwar.html.",NA,"Gleditsch, Kristian. 2004. ""A Revised List of Wars Between and Within Independent States, 1816-2002."" International Interactions 30 (3): 231-62. http://privatewww.essex.ac.uk/~ksg/expwar.html."
interstate_dyads_yearly,GWn.x,Gleditsch-Ward numeric country code for side A. See Gleditsch and Ward (1999).,NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
interstate_dyads_yearly,sdate.x,Date country A entered the war.,NA,NA,NA,NA
interstate_dyads_yearly,edate.x,Date country A exited the war.,NA,NA,NA,NA
interstate_dyads_yearly,warname,War name.,NA,NA,NA,NA
interstate_dyads_yearly,GWc.x,Gleditsch-Ward alphabetic country code for side A. See Gleditsch and Ward (1999).,NA,NA,NA,NA
interstate_dyads_yearly,newcow,newcow,NA,NA,NA,NA
interstate_dyads_yearly,cow94,cow94,NA,NA,NA,NA
interstate_dyads_yearly,cow00,cow00,NA,NA,NA,NA
interstate_dyads_yearly,oldwid,oldwid,NA,NA,NA,NA
interstate_dyads_yearly,deaths.x,Estimated deaths for side A.,NA,NA,NA,NA
interstate_dyads_yearly,intnl.x,intnl.x,NA,NA,NA,NA
interstate_dyads_yearly,outcome.x,"Outcome of the war for side A. 1 = on the winning side, 2 = on the losing side, 3 = compromise/tie, 4 = war transformed into another type, 6 = stalemate, 8 = party changed sides.",NA,NA,NA,NA
interstate_dyads_yearly,outcome_chr.x,"Outcome of the war for side A, in character form.",NA,NA,NA,NA
interstate_dyads_yearly,intnl_chr.x,intnl_chr.x,NA,NA,NA,NA
interstate_dyads_yearly,country_name.x,Standardized country name for country A.,NA,NA,NA,NA
interstate_dyads_yearly,type,Type of war.,NA,NA,NA,NA
interstate_dyads_yearly,side.x,side.x,NA,NA,NA,NA
interstate_dyads_yearly,initiate.x,"Did country A initiate the war? 1 = initiated, 2 = did not initiate.",NA,NA,NA,NA
interstate_dyads_yearly,initiate_chr.x,Character version of initiate.x.,NA,NA,NA,NA
interstate_dyads_yearly,GWn.y,Gleditsch-Ward numeric country code for side B. See Gleditsch and Ward (1999).,NA,NA,NA,NA
interstate_dyads_yearly,sdate.y,Date country B entered the war.,NA,NA,NA,NA
interstate_dyads_yearly,edate.y,Date country B exited the war.,NA,NA,NA,NA
interstate_dyads_yearly,GWc.y,Gleditsch-Ward alphabetic country code for side B. See Gleditsch and Ward (1999).,NA,NA,NA,NA
interstate_dyads_yearly,deaths.y,Estimated deaths for side B.,NA,NA,NA,NA
interstate_dyads_yearly,intnl.y,intnl.y,NA,NA,NA,NA
interstate_dyads_yearly,outcome.y,"Outcome of the war for side B. 1 = on the winning side, 2 = on the losing side, 3 = compromise/tie, 4 = war transformed into another type, 6 = stalemate, 8 = party changed sides.",NA,NA,NA,NA
interstate_dyads_yearly,outcome_chr.y,"Outcome of the war for side B, in character form.",NA,NA,NA,NA
interstate_dyads_yearly,intnl_chr.y,intnl_chr.y,NA,NA,NA,NA
interstate_dyads_yearly,country_name.y,Standardized country name for country B.,NA,NA,NA,NA
interstate_dyads_yearly,side.y,side.y,NA,NA,NA,NA
interstate_dyads_yearly,initiate.y,"Did country A initiate the war? 1 = initiated, 2 = did not initiate.",NA,NA,NA,NA
interstate_dyads_yearly,initiate_chr.y,Character version of initiate.y.,NA,NA,NA,NA
kailitz_yearly,combined_regime,"The concatenation of all regimes for that year. For example, Spain has a ""combined regime"" of ""Military Autocracy-One party Autocracy-Personalist Autocracy"" for the each of the years 1946-1974.",The Steffen Kailitz Dataset of Authoritarian Regime Types,"Contains the authoritarian regime types dataset from Kailitz, Steffen. 2013. Classifying political regimes revisited: legitimation and durability. Democratization 20 (1): 39-60. Original data available at http://dx.doi.org/10.1080/13510347.2013.738861.",regime characteristics,"Kailitz, Steffen. 2013. Classifying political regimes revisited: legitimation and durability. Democratization 20 (1): 39-60. Original data available at http://dx.doi.org/10.1080/13510347.2013.738861."
kailitz_yearly,kailitz_binary,"Dichotomous democracy indicator. 1 if combined_regime is ""Liberal democracy"", 0 otherwise.",NA,NA,regime types,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
kailitz_yearly,kailitz_tri,"Trichotomous democracy indicator. 2 if combined_regime is ""Liberal Democracy"", 1 if it is ""Electoral Autocracy"" or ""Electoral Autocracy-Liberal Democracy"", 0 otherwise.",NA,NA,democracy,NA
kailitz_yearly,personal," Binary indicator of personalism. TRUE if combined_regime contains ""Personal Autocracy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,communist,"Binary indicator of communism. TRUE if combined_regime contains ""Communist Ideocracy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,military,"Binary indicator of military autocracy. TRUE if combined_regime contains ""Military Autocracy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,party,"Binary indicator of one party autocracy TRUE if combined_regime contains ""One party Autocracy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,monarchy," Binary indicator of monarchy. TRUE if combined_regime contains ""Monarchy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,electoral,"Binary indicator of electoral autocracy. TRUE if combined_regime contains ""Electoral autocracy"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,failure,"Binary indicator of state failure or occupation. TRUE if combined_regime contains ""State Failure or Occupation"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,transition,"Binary indicator of transition. TRUE if combined_regime contains ""Transition"", FALSE otherwise.",NA,NA,NA,NA
kailitz_yearly,kailitz_country,Country name in the original dataset.,NA,NA,NA,NA
lied,male_suffrage,"Virtually all male citizens are allowed to vote in national elections. Legal restrictions pertaining to age, criminal conviction, incompetence, and local residency are not considered. Informal restrictions such as those obtaining in the American South prior to 1965 are also not considered.","The Lexical Index of Democracy, v. 3","The Lexical Index of Democracy described in Skaaning, Svend-Erik; John Gerring; and Henrikas Bartusevicius (2015). ""A Lexical Index of Electoral Democracy."" Comparative Political Studies, Vol. 48, No. 12, pp. 1491-1525. Original data and variable descriptions available at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/29106.",democracy," Skaaning, Svend-Erik; John Gerring; and Henrikas Bartusevicius (2015). ""A Lexical Index of Electoral Democracy."" Comparative Political Studies, Vol. 48, No. 12, pp. 1491-1525. "
lied,female_suffrage,Virtually all female citizens are allowed to vote in national elections. Similar coding rules apply.,NA,NA,regime characteristics,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
lied,exselec,"The chief executive is either directly or indirectly elected (i.e., chosen by people who have been elected)",NA,NA,institutions,NA
lied,legselec,A legislative body issues at least some laws and does not perform executive functions. The lower house (or unicameral chamber) of the legislature is at least partly elected. The legislature has not been closed.,NA,NA,NA,NA
lied,opposition,"The lower house (or unicameral chamber) of the legislature is (at least in part) elected by voters facing more than one choice. Specifically, parties are not banned and (a) more than one party is allowed to compete or (b) elections are nonpartisan (i.e., all candidates run without party labels)",NA,NA,NA,NA
lied,competition,"The chief executive offices and seats in the effective legislative body are filled by elections characterized by uncertainty (see Przeworski 2000: 16- 17), meaning that the elections are, in principle, sufficiently free to enable the opposition to gain power if they were to attract sufficient support from the electorate. This presumes that control over key executive and legislative offices is determined by elections, the executive and members of the legislature have not been unconstitutionally removed, and the legislature has not been dissolved. With respect to the electoral process, this presumes that the constitutional timing of elections has not been violated (in a more than marginal fashion), non-extremist parties are not banned, opposition candidates are generally free to participate, voters experience little systematic coercion in exercising their electoral choice, and electoral fraud does not determine who wins. With respect to the outcome, this presumes that the declared winner of executive and legislative elections reflects the votes cast by the electorate, as near as can be determined from extant sources. Incumbent turnover (as a result of multi-party elections) is regarded as a strong indicator of competition, but is neither necessary nor sufficient. In addition, we rely on reports from outside observers (as reported in books, articles, and country reports) about whether the foregoing conditions have been met in a given election (see Svolik 2012: 24). Coding for this variable does not take into account whether there is a level playing field, whether all contestants gain access to funding and media, whether media coverage is unbiased, whether civil liberties are respected, or other features associated with fully free and fair elections. COMPETITION thus sets a modest threshold.",NA,NA,NA,NA
lied,lexical_index,"To generate the lexical index from these six binary variables, a country-year is assigned the highest score (L0-6) for which it fulfills all requisite criteria, as follows:

L0: LEGSELEC=0 & EXSELEC=0.

L1: LEGSELEC=1 or EXSELEC=1.

L2: LEGSELEC=1 & OPPOSITION=1.

L3: LEGSELEC=1 & OPPOSITION=1 & EXSELEC=1.

L4: LEGSELEC=1 & OPPOSITION=1 & EXSELEC=1 & COMPETITION=1.

L5: LEGSELEC=1 & OPPOSITION=1 & EXSELEC=1 & COMPETITION=1 & (MALE SUFFRAGE=1 or FEMALE SUFFRAGE=1).

L6: LEGSELEC=1 & OPPOSITION=1 & EXSELEC=1 & COMPETITION=1 & MALE SUFFRAGE=1 & FEMALE SUFFRAGE=1.",NA,NA,NA,NA
lied,regime,"A character version of lexical_index. Coded as follows:

0 = nonelectoral,

1 = one- or no- party elections,

2 = limited competition multiparty elections for legislature only,

3 = Limited competition multiparty elections for both executive and legislature (with or without universal suffrage),

4 = Competitive elections for executive and legislative, limited suffrage,

5 = Male democracy,

6 = Electoral democracy.",NA,NA,NA,NA
lied,lied_country,Country name in the original dataset.,NA,NA,NA,NA
magaloni,regime_nr,"The regime type of a given country-year, in which the classification is based on the regime type that exists at the end of the year. This is the more ""conventional"" approach of other regime datasets. The list of potential regimes includes: Democracy, Multiparty Autocracy, Single party, Military, Monarchy.","Selection from the Autocracies of the World dataset v. 1.0","A selection of variables from the ""Autocracies of the World"" dataset by Beatriz Magaloni, Jonathan Chu, and Eric Min. Please cite as Magaloni, Beatriz, Jonathan Chu, and Eric Min. 2013. Autocracies of the World, 1950-2012 (Version 1.0). Dataset, Stanford University. Original data and codebook available at http://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset/. The documentation here is directly derived from this codebook.",regime characteristics,"Magaloni, Beatriz, Jonathan Chu, and Eric Min. 2013. Autocracies of the World, 1950-2012 (Version 1.0). Dataset, Stanford University. "
magaloni,lindex,"This a measure of personalism within each regime. According to the codebook, ""the variable is essentially a Herfendahl index (sum of squared shares) using the name of the executive. For a given country-year in a unique regime (see reg_id), the following calculation is made: $sum_i=1^m (exec_i/n)^2$ where n is the age of the regime up to that year, and exec is the number of years that a unique executive i (out of a total m executives up to that year) has led the regime. As such, a regime led by only one person up through that year yields a personalism index of 1. A theoretical scenario where leadership changes every single year would yield 1/n. These calculations are made using the non-rounded values. We note that this is a relatively sensitive measure in the early/formative years of an individual regime, but we propose this is a useful way of considering personalism as an evolving attribute of a regime over time. """,NA,NA,regime types,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
magaloni,duration_nr,"The age of a regime up to the given country-year, without rounding. The first year in which a new regime takes hold is recorded as 1, regardless of when in the year this new regime appears.",NA,NA,democracy,NA
magaloni,magaloni_country,Country name in the original dataset.,NA,NA,NA,NA
magaloni_extended,regime_nr,"The regime type of a given country-year, in which the classification is based on the regime type that exists at the end of the year. This is the more ""conventional"" approach of other regime datasets. The list of potential regimes includes: Democracy, Multiparty Autocracy, Single party, Military, Monarchy.","Selection from the Autocracies of the World dataset v. 1.0","A selection of variables from the ""Autocracies of the World"" dataset by Beatriz Magaloni, Jonathan Chu, and Eric Min. Please cite as Magaloni, Beatriz, Jonathan Chu, and Eric Min. 2013. Autocracies of the World, 1950-2012 (Version 1.0). Dataset, Stanford University. Original data and codebook available at http://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset/. This is extended using the duration_nr variable to before 1945. The documentation here is directly derived from this codebook.",regime characteristics,"Magaloni, Beatriz, Jonathan Chu, and Eric Min. 2013. Autocracies of the World, 1950-2012 (Version 1.0). Dataset, Stanford University. "
magaloni_extended,magaloni_country,Country name in the original dataset.,NA,NA,regime types,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
navco_2,location,Country in which the campaign takes place. Not standardized.,Selection from the NAVCO dataset v. 2.0,"The Nonviolent and Violent Campaigns and Outcomes (NAVCO) Data Project Version 2.0, Campaign-Year Data. Compiled by: Erica Chenoweth and Orion A. Lewis, Josef Korbel School of International Studies University of Denver. Original dataset and codebook available at http://www.navcodata.org/. Last revised: May 1, 2013. This dataset is described in Erica Chenoweth and Orion A. Lewis, ""Unpacking Nonviolent Campaigns: Introducing the NAVCO 2.0 Dataset,"" Journal of Peace Research, May 2013. The documentation below is directly derived from the codebook.",violence,"Erica Chenoweth and Orion A. Lewis, ""Unpacking Nonviolent Campaigns: Introducing the NAVCO 2.0 Dataset,"" Journal of Peace Research, May 2013. "
navco_2,target,Target of the campaign.,NA,NA,campaign data,NA
navco_2,id,ID of the campaign.,NA,NA,NA,NA
navco_2,campaign,Campaign name.,NA,NA,NA,NA
navco_2,navco1designation,"Denotes the type of resistance method designated for the campaign in the NAVCO v1.1 dataset, based on an ""ideal types"" criterion. Note that this variable refers to the campaign's coding from NAVCO v1.1. In NAVCO v2.0 this variable is static even though campaigns can change their primary resistance method. 0=primarily violent campaign 1=primarily nonviolent campaign",NA,NA,NA,NA
navco_2,prim_method,"Denotes the primary type of resistance method used in a campaign year. 0=primarily violent campaign 1=primarily nonviolent campaign. (Can vary over the life of a campaign, unlike navco1designation).",NA,NA,NA,NA
navco_2,camp_goals,Stated goals of the campaign. 0=regime change 1=significant institutional reform 2=policy change 3=territorial secession 4=greater autonomy 5=anti-occupation -99=unknown.,NA,NA,NA,NA
navco_2,success,"1=campaign outcome successful within one year of peak of activities, 0=otherwise.",NA,NA,NA,NA
navco_2,camp_size,"Indicator of the general size of the campaign. 0=1-999 1=1000-9,999 2=10,000-99,999 3=100,000-499,999 4=500,000-1million 5=>1 million -99=unknown.",NA,NA,NA,NA
nelda,electionid,Election ID., The NELDA v.4 dataset (selection),"A selection of variables from the NELDA v.4 dataset. Described in Susan D. Hyde and Nikolay Marinov, 2012, Which Elections Can Be Lost?, Political Analysis, 20(2), 191-201.",elections,"Susan D. Hyde and Nikolay Marinov, 2012, Which Elections Can Be Lost?, Political Analysis, 20(2), 191-201"
nelda,types,"Type of election (legislative/parliamentary, executive, constitutional assembly).",NA,NA,NA,NA
personal_scores,z1,"Estimated index. Lower values indicate more personalism, so I usually invert it.","Latent variable index of personalism, v. 1.0","A latent index of personal power, constructed from a variety of indicators of personalism. See \\code{vignette(""An_index_of_personal_power"")} for more information on how the index of personalism is constructed.",personal power,NA
personal_scores,se.z1,Standard error of the estimate.,NA,NA,NA,NA
personal_scores,pct975,Upper bound of the 95\% confidence interval.,NA,NA,NA,NA
personal_scores,pct025,Lower bound of the 95\% confidence interval.,NA,NA,NA,NA
